query_id,article_id,original_title,paraphrase,label_name,subject,gold_chunk_ids,gold_article_ids,n_gold_chunks
para-30574,30574,FORMER DNC AIDES In Hot Water Over Possible Money Laundering Scheme to Fund Terrorism Overseas,former dnc aides hot water regarding possible money laundering scheme fund terrorism overseas,fake,politics,30574:0|30574:1|30574:2|30574:3|30574:4|30574:5,30574,6
para-37279,37279,OBAMA’S OPEN BORDER POLICY COMES WITH SERIOUS NATIONAL SECURITY CONSEQUENCES: Iraqi Military Trainer Caught Crossing US-Mexico Border,Reports concerning obama s open border policy comes with serious national security consequences: iraqi military trainer caught crossing us-mexico border,fake,politics,37279:0|37279:1|37279:2|37279:3,37279,4
para-41975,41975,“FLUSH TARGET” Truck Will Travel To Every Store In MN Delivering A Serious Message: “I don’t feel safe at Target…” [VIDEO],flush target truck will travel every store mn delivering serious message: i don t feel safe at target,fake,left-news,41975:0|41975:1,41975,2
para-10203,10203,Republicans criticize partisan divide at FCC,What happened with republicans criticize partisan divide at fcc,true,politicsNews,10203:0|10203:1|10203:2|10203:3,10203,4
para-41354,41354,YIKES! Tomi Lahren DEMOLISHES Hillary: “How Dare You Blame Donald Trump…EXCUSE ME?…Did 4 Americans Die On His Watch In Benghazi? [VIDEO],yikes tomi lahren demolishes hillary: how dare you blame donald trump excuse me did 4 americans die his watch benghazi,fake,left-news,41354:0,41354,1
para-4996,4996,Trump aides attack agency that will analyze health bill's costs,Coverage of trump aides attack agency that will analyze health bill's costs,true,politicsNews,4996:0|4996:1|4996:2|4996:3|4996:4|4996:5|4996:6|4996:7,4996,8
para-13996,13996,Ousted Zimbabwe finance minister hospitalized: lawyer,Reports concerning ousted zimbabwe finance minister hospitalized: lawyer,true,worldnews,13996:0,13996,1
para-6352,6352,Exclusive: U.S. congressional committee demands answers on WHO cancer agency,u.s. congressional committee demands answers who cancer agency,true,politicsNews,6352:0|6352:1|6352:2|6352:3|6352:4,6352,5
para-16981,16981,Germany says worried about new generation of Islamic State recruits,germany states worried about new generation islamic state recruits,true,worldnews,16981:0|16981:1,16981,2
para-9075,9075,Trump says U.S. should mull more racial profiling after Orlando shooting,trump states u.s. should mull more racial profiling following orlando shooting,true,politicsNews,9075:0|9075:1|9075:2|9075:3|9075:4,9075,5
para-2990,2990,House overwhelmingly backs NATO mutual defense,What happened with house overwhelmingly backs nato mutual defense,true,politicsNews,2990:0|2990:1|2990:2,2990,3
para-6273,6273,Trump's U.N. nominee to blast world body over Israel: testimony,trump's u.n. nominee blast world body regarding israel: testimony,true,politicsNews,6273:0|6273:1|6273:2,6273,3
para-12539,12539,Iran will treat jailed aid worker as Iranian citizen: foreign ministry,What happened with iran will treat jailed aid worker as iranian citizen: foreign ministry,true,worldnews,12539:0|12539:1|12539:2|12539:3,12539,4
para-26235,26235,"Trump’s Immigration Speech After Mexico Visit FILLED With Lies, Deceit, And Racism","trump s immigration speech following mexico visit filled with lies, deceit, racism",fake,News,26235:0|26235:1|26235:2|26235:3|26235:4|26235:5|26235:6,26235,7
para-15290,15290,"SpaceX to launch Turkish satellites, minister says","spacex launch turkish satellites, minister states",true,worldnews,15290:0|15290:1,15290,2
para-40547,40547,HOLY MOLY! TRUMP GIVES EPIC News Conference…SLAYS PRESS…Dresses Down CNN…”Your Ratings Are Lower Than Congress…Network Is All About “Hate” [VIDEO],holy moly trump gives epic news conference slays press dresses down cnn your ratings are lower than congress network is all about hate,fake,left-news,40547:0|40547:1|40547:2,40547,3
para-33800,33800,DONALD TRUMP DITCHES THE PRESS To Do Something Really Fun…And Normal,donald trump ditches press do something really fun normal,fake,politics,33800:0,33800,1
para-36680,36680,TRUMP AND CRUZ ANNOUNCE A JOINT RALLY TO PROTEST THE IRAN DEAL,trump cruz announce joint rally protest iran agreement,fake,politics,36680:0|36680:1,36680,2
para-28172,28172,What This Trump Company Did To A Veteran Will Disgust You,what this trump company did veteran will disgust you,fake,News,28172:0|28172:1|28172:2,28172,3
para-21009,21009,Indian and Chinese defense forces must maintain cooperation: Indian Foreign Secretary,indian chinese defense forces must maintain cooperation: indian foreign secretary,true,worldnews,21009:0,21009,1
para-40462,40462,"WATCH: G.W. BUSH Gushes Over Kimmel’s Anti-Trump Oscar’s Monologue…Refused To Speak Out Against Obama, It’s Not “good for the country to have a former president undermine a current president”","g.w. bush gushes regarding kimmel s anti-trump oscar s monologue refused speak out versus obama, it s not good country have former president undermine current president",fake,left-news,40462:0|40462:1|40462:2,40462,3
para-40827,40827,OHIO ELECTOR TORCHES Anti-Trump Letters He Received From Crybaby Liberals [Video],ohio elector torches anti-trump letters he received from crybaby liberals,fake,left-news,40827:0,40827,1
para-21638,21638,Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday,tiffany trump is sad as hell following whole family completely forgot her birthday,fake,News,21638:0|21638:1|21638:2,21638,3
para-27388,27388,"A Monkey Knocked Out Kenya’s Power Grid, So Conservatives Called Obama a N***** (SCREENSHOTS)","monkey knocked out kenya s power grid, so conservatives called obama n***** (screenshots)",fake,News,27388:0|27388:1|27388:2,27388,3
para-12696,12696,"Despite furor over Jerusalem move, Saudis seen on board with U.S. peace efforts","despite furor regarding jerusalem move, saudis seen board with u.s. peace efforts",true,worldnews,12696:0|12696:1|12696:2|12696:3|12696:4|12696:5|12696:6|12696:7|12696:8|12696:9|12696:10,12696,11
para-32951,32951,HORRIBLE! TOP DEMOCRATS Refuse To Stand For Gold Star Widow [Video],horrible top democrats refuse stand gold star widow,fake,politics,32951:0|32951:1,32951,2
para-12887,12887,China criticises India over crashed drone on border,china criticises india regarding crashed drone border,true,worldnews,12887:0|12887:1|12887:2|12887:3,12887,4
para-33396,33396,"OBAMA’S Mexico Gun-Running, Race-Baiting, Former Attorney General Hired By State Of CA To Help Fight Against Trump","obama s mexico gun-running, race-baiting, former attorney general hired by state ca help fight versus trump",fake,politics,33396:0|33396:1|33396:2|33396:3|33396:4|33396:5|33396:6,33396,7
para-6276,6276,Schumer to Trump: Don't fire U.S. consumer agency's head,schumer trump: don't fire u.s. consumer agency's head,true,politicsNews,6276:0|6276:1|6276:2|6276:3,6276,4
para-22885,22885,KKK Style Mob Chants “Russia Is Our Friend” While Protesting Confederate Statue Removal (VIDEO),kkk style mob chants russia is our friend while protesting confederate statue removal,fake,News,22885:0|22885:1|22885:2,22885,3
para-24270,24270,Protest Group Puts GIANT Sign On Crane Next To White House; Trump’s Gonna Lose His Mind (IMAGE),protest group puts giant sign crane next white house; trump s gonna lose his mind,fake,News,24270:0|24270:1,24270,2
para-17407,17407,"Macron urges the French to value success, rejects 'president of rich' tag","macron calls on french value success, rejects 'president rich' tag",true,worldnews,17407:0|17407:1|17407:2|17407:3|17407:4|17407:5,17407,6
para-30684,30684,JUST IN: UK LEADER Who Criticized President Trump For Tweeting About ISLAMIC EXTREMISTS Is Victim Of Assassination Plot By ISLAMIC EXTREMISTS,just in: uk leader who criticized president trump tweeting about islamic extremists is victim assassination plot by islamic extremists,fake,politics,30684:0|30684:1|30684:2|30684:3|30684:4|30684:5,30684,6
para-22517,22517,WATCH: Joy Reid OWNS Trump In Less Than 30 Seconds For Claiming To Be More Popular Than Obama,joy reid owns trump less than 30 seconds claiming be more popular than obama,fake,News,22517:0|22517:1|22517:2|22517:3|22517:4,22517,5
para-26999,26999,Potential Trump VP Picks Running Away From Him In DROVES,potential trump vp picks running away from him droves,fake,News,26999:0|26999:1|26999:2|26999:3,26999,4
para-40107,40107,BOMBSHELL COMEY ADMISSION: FBI Found Email Indicating Obama’s AG Loretta Lynch Would Do EVERYTHING She Could To Protect Hillary From Criminal Charges [VIDEO],bombshell comey admission: fbi found email indicating obama s ag loretta lynch would do everything she could protect hillary from criminal charges,fake,left-news,40107:0|40107:1|40107:2,40107,3
para-11159,11159,U.S. immigration case could set limits on presidential power,u.s. immigration case could set limits presidential power,true,politicsNews,11159:0|11159:1|11159:2|11159:3|11159:4|11159:5|11159:6,11159,7
para-17269,17269,'Vanishing village' looks to Japan's LDP for survival,'vanishing village' looks japan's ldp survival,true,worldnews,17269:0|17269:1|17269:2|17269:3|17269:4|17269:5|17269:6|17269:7,17269,8
para-24906,24906,"New Poll Shows How Batsh** CRAZY Trump Fans Are, Gives Them A BRUTAL Reality Check (IMAGES)","new survey shows how batsh** crazy trump fans are, gives them brutal reality check",fake,News,24906:0|24906:1|24906:2|24906:3,24906,4
para-20144,20144,Region must do more to pressure South Sudan leaders to end conflict: U.S. diplomat,region must do more pressure south sudan leaders end conflict: u.s. diplomat,true,worldnews,20144:0|20144:1|20144:2|20144:3,20144,4
para-40320,40320,FORMER OBAMA SPOKESLIAR To Join NBC As Paid Fake News Host…We’ve Got A Few Clips Of His Best Lies To The Press [VIDEO],former obama spokesliar join nbc as paid fake news host we ve got few clips his best lies press,fake,left-news,40320:0|40320:1|40320:2,40320,3
para-37005,37005,MARCO RUBIO IS CALLED IRRESPONSIBLE FOR BUYING A FISHING BOAT…Hillary Buys A Mansion In NY To Run For Senate…Crickets,marco rubio is called irresponsible buying fishing boat hillary buys mansion ny run senate crickets,fake,politics,37005:0|37005:1|37005:2|37005:3|37005:4,37005,5
para-23000,23000,FDA Department Gets Order From White House Saying All Office TVs Must Be Programmed To Fox News Only,fda department gets order from white house saying all office tvs must be programmed fox news only,fake,News,23000:0|23000:1|23000:2|23000:3|23000:4,23000,5
para-15304,15304,Trump says U.S. upholds and sticks to 'one China' policy: Xinhua,trump states u.s. upholds sticks 'one china' policy: xinhua,true,worldnews,15304:0,15304,1
para-16217,16217,German far-right party drops bid for journalists' private data,german far-right party drops attempt journalists' private data,true,worldnews,16217:0|16217:1|16217:2|16217:3,16217,4
para-27877,27877,Donald Trump Whines That Mitt Romney Was ‘Ungrateful’ For Trump Helping Him Lose The Election (VIDEO),donald trump whines that mitt romney was ungrateful trump helping him lose election,fake,News,27877:0|27877:1|27877:2|27877:3|27877:4|27877:5,27877,6
para-17433,17433,FACTBOX - German coalition watch: Agreeing on lowest common denominator not enough - Greens,factbox - german coalition watch: agreeing lowest common denominator not enough - greens,true,worldnews,17433:0|17433:1|17433:2|17433:3|17433:4|17433:5|17433:6|17433:7,17433,8
para-9166,9166,"Trump postpones New Hampshire rally over shooting, still plans major speech","trump postpones new hampshire rally regarding shooting, still plans major speech",true,politicsNews,9166:0,9166,1
para-4822,4822,"Iraq's PM, on U.S. visit, says wins assurances from Trump administration","iraq's pm, u.s. visit, states wins assurances from trump administration",true,politicsNews,4822:0,4822,1
para-12661,12661,Lebanon's Hariri denounces Iraqi Shi'ite paramilitary's visit to border,lebanon's hariri denounces iraqi shi'ite paramilitary's visit border,true,worldnews,12661:0|12661:1|12661:2|12661:3|12661:4,12661,5
para-17787,17787,North Korea hackers stole South Korea-U.S. military plans to wipe out North Korea leadership: lawmaker,north korea hackers stole south korea-u.s. military plans wipe out north korea leadership: lawmaker,true,worldnews,17787:0|17787:1|17787:2|17787:3|17787:4|17787:5,17787,6
para-32130,32130,Liberal #BillMaher Uses The “N-word” on Live TV…Will He Be “Kathy Griffined”? [Video],liberal #billmaher uses n-word live tv will he be kathy griffined,fake,politics,32130:0|32130:1,32130,2
para-9638,9638,"Treading cautiously, House's Ryan to meet Trump","treading cautiously, house's ryan meet trump",true,politicsNews,9638:0|9638:1|9638:2|9638:3|9638:4|9638:5|9638:6,9638,7
para-12171,12171,Tillerson: No preconditions for North Korea talks,tillerson: no preconditions north korea discussions,true,worldnews,12171:0,12171,1
para-2513,2513,"France says U.S. sanctions on Iran, Russia look illegal","france states u.s. sanctions iran, russia look illegal",true,politicsNews,2513:0,2513,1
para-833,833,Sister of NY attack suspect says he may have been brainwashed; appeals to Trump,sister ny attack suspect states he may have been brainwashed; appeals trump,true,politicsNews,833:0|833:1|833:2|833:3|833:4,833,5
para-42370,42370,WATCH: Shocking Number Of Swedish Citizens WALK BY GIRL BEING RAPED By “Middle Eastern Man” In Car [VIDEO],shocking number swedish citizens walk by girl being raped by middle eastern man car,fake,left-news,42370:0|42370:1|42370:2|42370:3,42370,4
para-24518,24518,Sean Hannity Too Stupid To Know He Retweeted Anti-Trump Post; Twitter Hilariously Let Him Know,sean hannity too stupid know he retweeted anti-trump post; twitter hilariously let him know,fake,News,24518:0|24518:1|24518:2|24518:3,24518,4
para-10924,10924,Clinton campaign denies staffing changes in works,clinton campaign denies staffing changes works,true,politicsNews,10924:0|10924:1|10924:2,10924,3
para-3885,3885,"Rice chides Trump for criticism of judges, media","rice chides trump criticism judges, media",true,politicsNews,3885:0|3885:1|3885:2|3885:3|3885:4|3885:5,3885,6
para-16553,16553,"Three killed, one missing after torrential rains in Bulgaria","three killed, one missing following torrential rains bulgaria",true,worldnews,16553:0,16553,1
para-28571,28571,Donald Trump Has Lowest Favorability Rating Of Any Candidate In Documented History,donald trump has lowest favorability rating any candidate documented history,fake,News,28571:0|28571:1|28571:2|28571:3,28571,4
para-23285,23285,Russia Probe’s New Leader Disqualified Himself MONTHS Ago With One IDIOTIC Statement,russia investigation s new leader disqualified himself months ago with one idiotic statement,fake,News,23285:0|23285:1|23285:2|23285:3,23285,4
para-31358,31358,HILLARY TWEETS MESSAGE In Defense Of DACA…OOPS! 2014 VIDEO Of Hillary EMERGES Saying Illegal Kids Should Be Sent Back,hillary tweets message defense daca oops 2014 video hillary emerges saying illegal kids should be sent back,fake,politics,31358:0|31358:1|31358:2|31358:3,31358,4
para-27599,27599,‘Christian’ Dad Forced 14-Year-Old Daughter To Marry MUCH Older Rapist Who Impregnated Her (VIDEO),christian dad forced 14-year-old daughter marry much older rapist who impregnated her,fake,News,27599:0|27599:1|27599:2|27599:3|27599:4,27599,5
para-5238,5238,Pentagon delivers draft plan to defeat Islamic State to White House,pentagon delivers draft plan defeat islamic state white house,true,politicsNews,5238:0|5238:1|5238:2|5238:3,5238,4
para-12217,12217,Thyssenkrupp has offered help to Argentina over disappeared submarine,thyssenkrupp has offered help argentina regarding disappeared submarine,true,worldnews,12217:0|12217:1,12217,2
para-41116,41116,BREAKING: FINALLY! New Wikileaks Email…”We are going to have to dump all those emails”,finally new wikileaks email we are going have dump all those emails,fake,left-news,41116:0|41116:1|41116:2|41116:3|41116:4|41116:5|41116:6,41116,7
para-42957,42957,BLACK ESPN SPORTS ANNOUNCER GOES OFF ON DIVISIVE LEFTIST NARRATIVE: “So what are we saying…That black lives matter only when we’re killed by somebody who’s not black?”,black espn sports announcer goes off divisive leftist narrative: so what are we saying that black lives matter only when we re killed by somebody who s not black,fake,left-news,42957:0|42957:1|42957:2|42957:3|42957:4|42957:5,42957,6
para-43558,43558,Assange: ‘Trump in Conflict with CIA Over Syria Policy’,assange: trump conflict with cia regarding syria policy,fake,US_News,43558:0,43558,1
para-36102,36102,“HILLARY WILL BE INDICTED”,Coverage of hillary will be indicted,fake,politics,36102:0|36102:1|36102:2,36102,3
para-30135,30135,Bigoted GOPer Calls Obama ‘The Most Racially-Divisive President’ Since The Civil War (AUDIO),bigoted goper urges obama most racially-divisive president since civil war (audio),fake,News,30135:0|30135:1|30135:2|30135:3,30135,4
para-6033,6033,White House pledges aid to help Chicago quell violence,white house pledges aid help chicago quell violence,true,politicsNews,6033:0|6033:1|6033:2|6033:3,6033,4
para-17938,17938,Sri Lanka arrests two over hacking of Taiwan bank accounts,sri lanka arrests two regarding hacking taiwan bank accounts,true,worldnews,17938:0|17938:1|17938:2,17938,3
para-18504,18504,U.S. urges EU hopeful Albania to get tough with 'big fish' of crime,u.s. calls on eu hopeful albania get tough with 'big fish' crime,true,worldnews,18504:0|18504:1|18504:2,18504,3
para-37890,37890,JUDGE JEANINE IS FURIOUS! “Hillary Won’t Stop Lying!” [VIDEO],judge jeanine is furious hillary won t stop lying,fake,Government News,37890:0,37890,1
para-19237,19237,"Facing far-right gains, Merkel, Schulz urge undecided Germans to vote","facing far-right gains, merkel, schulz urge undecided germans vote",true,worldnews,19237:0|19237:1|19237:2|19237:3|19237:4|19237:5|19237:6|19237:7,19237,8
para-25102,25102,Harvard Law Professor Calls For Electoral College To Dump Trump,harvard law professor urges electoral college dump trump,fake,News,25102:0|25102:1|25102:2|25102:3|25102:4,25102,5
para-1195,1195,"Instead of U.S. midterms, Sanders focuses on smaller races","instead u.s. midterms, sanders focuses smaller races",true,politicsNews,1195:0|1195:1|1195:2|1195:3|1195:4|1195:5,1195,6
para-37909,37909,ALL WHITES IN BACK…Democrats Prove Their Obsession With Race In One RIDICULOUS Photo,all whites back democrats prove their obsession with race one ridiculous photo,fake,Government News,37909:0|37909:1,37909,2
para-17417,17417,"Kenyan opposition leader Odinga, who withdrew from vote re-run, calls for protests","kenyan opposition leader odinga, who withdrew from vote re-run, urges protests",true,worldnews,17417:0|17417:1|17417:2|17417:3,17417,4
para-5073,5073,Trump to nominate Francisco as U.S. solicitor general,trump nominate francisco as u.s. solicitor general,true,politicsNews,5073:0|5073:1|5073:2,5073,3
para-17749,17749,Moscow may demand U.S. cut diplomatic staff in Russia to 300 or below: RIA,moscow may demand u.s. cut diplomatic staff russia 300 below: ria,true,worldnews,17749:0|17749:1|17749:2,17749,3
para-17640,17640,Factbox: Italy's new electoral law offers a mix of systems,factbox: italy's new electoral law offers mix systems,true,worldnews,17640:0|17640:1|17640:2|17640:3,17640,4
para-43571,43571,Trump Was Right: Latest Arrests Prove Threats to Jewish Centers in US Were False Flags,trump was right: latest arrests prove threats jewish centers us were false flags,fake,US_News,43571:0|43571:1|43571:2|43571:3|43571:4|43571:5|43571:6|43571:7|43571:8|43571:9|43571:10|43571:11|43571:12|43571:13,43571,14
para-8649,8649,Sanders says would prefer Elizabeth Warren over Kaine as vice presidential pick,sanders states would prefer elizabeth warren regarding kaine as vice presidential pick,true,politicsNews,8649:0,8649,1
para-38152,38152,WATCH CONSERVATIVE HOTTIE TOMI LAHREN Go Head To Head With Pro-Black Panther Activist [Video],conservative hottie tomi lahren go head head with pro-black panther activist,fake,Government News,38152:0,38152,1
para-8801,8801,"Sanders could endorse Clinton's White House bid, but some divisions linger","Reports concerning sanders could endorse clinton's white house bid, but some divisions linger",true,politicsNews,8801:0|8801:1|8801:2|8801:3|8801:4|8801:5|8801:6,8801,7
para-6919,6919,U.S. defense elite rally behind Trump's unusual Pentagon pick,Reports concerning u.s. defense elite rally behind trump's unusual pentagon pick,true,politicsNews,6919:0|6919:1|6919:2|6919:3|6919:4|6919:5|6919:6,6919,7
para-7004,7004,Federal judges order North Carolina to redraw legislative districts,federal judges order north carolina redraw legislative districts,true,politicsNews,7004:0|7004:1|7004:2|7004:3,7004,4
para-35814,35814,HOW REPUBLICAN LEADERS Are Willing To Sacrifice White House To STOP TRUMP,how republican leaders are willing sacrifice white house stop trump,fake,politics,35814:0|35814:1|35814:2|35814:3|35814:4|35814:5,35814,6
para-5339,5339,"Pence says 'disappointed' over Flynn, supported resignation","pence states 'disappointed' regarding flynn, supported resignation",true,politicsNews,5339:0,5339,1
para-15758,15758,Kosovo calls for inquiry after citizens jailed in Macedonia,kosovo urges inquiry following citizens jailed macedonia,true,worldnews,15758:0|15758:1|15758:2|15758:3,15758,4
para-2415,2415,Trump threatens to end insurance payments if no healthcare bill,trump threatens end insurance payments if no healthcare bill,true,politicsNews,2415:0|2415:1|2415:2|2415:3|2415:4|2415:5|2415:6,2415,7
para-10677,10677,Spy agencies say Clinton emails closely matched top secret documents: sources,spy agencies say clinton emails closely matched top secret documents,true,politicsNews,10677:0|10677:1|10677:2|10677:3|10677:4|10677:5|10677:6,10677,7
para-29145,29145,Veteran Newsman Ted Koppel Scorches O’Reilly: You Spent 20 Years Making The News Dumber (VIDEO),veteran newsman ted koppel scorches o reilly: you spent 20 years making news dumber,fake,News,29145:0|29145:1|29145:2|29145:3|29145:4,29145,5
para-13253,13253,Qatari emir to attend Gulf summit despite row: foreign minister,qatari emir attend gulf summit despite row: foreign minister,true,worldnews,13253:0|13253:1,13253,2
para-8140,8140,"Trump could lose a few pounds, but otherwise healthy: adviser","trump could lose few pounds, but otherwise healthy: adviser",true,politicsNews,8140:0|8140:1|8140:2,8140,3
para-24431,24431,"Arizona GOP Poised To Ban Social Justice Classes, Events, And Lectures In Public Schools","arizona gop poised ban social justice classes, events, lectures public schools",fake,News,24431:0|24431:1|24431:2|24431:3|24431:4|24431:5,24431,6
para-18704,18704,"U.S. military aircraft crashes in Syria, injuring two: officials","u.s. military aircraft crashes syria, injuring two",true,worldnews,18704:0,18704,1
para-44812,44812,Microsoft Pulls New A.I. Robot After It Went on Pro-Hitler Twitter Rant,microsoft pulls new a.i. robot following it went pro-hitler twitter rant,fake,Middle-east,44812:0|44812:1,44812,2
para-1905,1905,"Ship traffic could resume Tuesday at Port Arthur, Texas: U.S. Coast Guard","Coverage of ship traffic could resume tuesday at port arthur, texas: u.s. coast guard",true,politicsNews,1905:0|1905:1|1905:2,1905,3
para-44796,44796,SUNDAY SCREENING: ‘The War On Democracy’,sunday screening: war democracy,fake,Middle-east,44796:0|44796:1,44796,2
para-41494,41494,WATCH: HARRY REID Caught Calling Benghazi Mother “Crazy”,harry reid caught calling benghazi mother crazy,fake,left-news,41494:0|41494:1,41494,2
para-14287,14287,UK PM May says believes Northern Irish accord possible; wants more talks,uk pm may states believes northern irish accord possible; wants more discussions,true,worldnews,14287:0,14287,1
para-19047,19047,"Exclusive: Mexico unlikely to find more quake survivors, emergency chief says","mexico unlikely find more quake survivors, emergency chief states",true,worldnews,19047:0|19047:1|19047:2|19047:3,19047,4
para-39576,39576,"BREAKING: CAR PLOWS INTO #Charlottesville Protesters…Several Injured, Some Injuries Are Reportedly Life Threatening [VIDEO]","car plows into #charlottesville protesters several injured, some injuries are reportedly life threatening",fake,left-news,39576:0|39576:1|39576:2|39576:3|39576:4|39576:5|39576:6|39576:7|39576:8,39576,9
para-27267,27267,The Boston Globe Releases Powerful Cover With This Simple Demand (IMAGE),boston globe releases powerful cover with this simple demand,fake,News,27267:0|27267:1|27267:2|27267:3,27267,4
para-7841,7841,Clinton aides sought to minimize fallout with White House on Keystone: emails,clinton aides sought minimize fallout with white house keystone: emails,true,politicsNews,7841:0|7841:1|7841:2|7841:3|7841:4|7841:5|7841:6|7841:7,7841,8
para-19911,19911,North Korea says goal is 'equilibrium' with U.S. after testing Hwasong-12 missile: KCNA,north korea states goal is 'equilibrium' with u.s. following testing hwasong-12 missile: kcna,true,worldnews,19911:0,19911,1
para-15066,15066,Head of East Africa's regional bloc condemns ICC Burundi investigation,head east africa's regional bloc condemns icc burundi investigation,true,worldnews,15066:0|15066:1|15066:2|15066:3,15066,4
para-14832,14832,EU Parliament names press room after murdered Maltese journalist,eu parliament names press room following murdered maltese journalist,true,worldnews,14832:0|14832:1|14832:2,14832,3
para-44115,44115,The White House and The Theatrics of ‘Gun Control’,white house theatrics gun control,fake,US_News,44115:0|44115:1|44115:2|44115:3|44115:4|44115:5|44115:6|44115:7|44115:8|44115:9|44115:10|44115:11,44115,12
para-49,49,Spy chiefs pressure Congress to renew expiring surveillance law,spy chiefs pressure congress renew expiring surveillance law,true,politicsNews,49:0|49:1|49:2|49:3,49,4
para-12288,12288,"Defiant Syrian envoy blames West, Saudis and U.N. as peace talks end","defiant syrian envoy blames west, saudis u.n. as peace discussions end",true,worldnews,12288:0|12288:1|12288:2|12288:3,12288,4
para-17211,17211,Kurds abandon territory in the face of Iraq government advance,kurds abandon territory face iraq government advance,true,worldnews,17211:0|17211:1|17211:2|17211:3|17211:4|17211:5|17211:6|17211:7|17211:8|17211:9|17211:10|17211:11,17211,12
para-3645,3645,Former FBI chief Comey postpones testimony before House committee,former fbi chief comey postpones testimony ahead house committee,true,politicsNews,3645:0|3645:1,3645,2
para-16807,16807,Roadside bomb kills seven outside Somali capital Mogadishu,Coverage of roadside bomb kills seven outside somali capital mogadishu,true,worldnews,16807:0|16807:1|16807:2,16807,3
para-38169,38169,MICHELLE AND BARACK OBAMA Had Time For This “Circus” But No Time For Justice Scalia? [Video],michelle barack obama had time this circus but no time justice scalia,fake,Government News,38169:0,38169,1
para-15260,15260,"Saudi king appoints 30 judges, promotes 26 amid anti-graft purge","saudi king appoints 30 judges, promotes 26 during anti-graft purge",true,worldnews,15260:0|15260:1,15260,2
para-31731,31731,"AS ANGRY FAR LEFT PROTESTERS Scream ‘Kill the Bill’, Senator John McCain Returns to Deliver Stunning Speech [Video]","as angry far left protesters scream kill bill , senator john mccain returns deliver stunning speech",fake,politics,31731:0|31731:1|31731:2,31731,3
